,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1376782,5,-0.236858069,0,201706,1,668,1
1376797,1,-1.301858774,0,201704,1,668,1
1376804,2,-0.274769892,0,201704,1,668,1
1376818,3,2.995732274,0,201706,1,668,1
1376964,1,-0.912506416,0,201706,1,668,1
1377018,1,0.298159091,0,201705,1,668,1
1377046,1,-0.244787696,0,201706,1,668,1
1377048,1,-0.910085026,0,201705,1,668,1
1377062,1,1.480555338,0,201704,1,668,1
1377101,2,-0.193262087,0,201704,1,668,1
1377188,1,-0.854376354,0,201705,1,668,1
1377200,3,-0.879316572,0,201705,1,668,1
1377272,2,1.69804114,0,201706,1,668,1
1377288,2,2.995732274,0,201705,1,668,1
1377316,5,2.995732274,0,201704,1,668,1
1377370,2,-0.333501679,0,201706,1,668,1
1377375,2,-0.898552407,0,201704,1,668,1
1377404,4,-0.286760835,0,201705,1,668,1
1377411,5,2.995732274,0,201706,1,668,1
1377429,5,-0.2801897,0,201705,1,668,1
1377536,1,2.995732274,0,201704,1,668,1
1377606,3,-0.206539043,0,201704,1,668,1
1377609,1,1.767364387,0.0191,201706,1,668,1
1377665,1,-1.810037266,0,201706,1,668,1
1377675,1,-0.293836862,0,201705,1,668,1
1377700,1,-0.912025844,0,201706,1,668,1
1377769,3,2.995732274,0.1,201706,1,668,1
1377832,1,1.665607353,0,201705,1,668,1
1377837,3,2.995732274,0.1682,201706,1,668,1
1377851,4,2.995732274,0,201705,1,668,1
1377877,2,2.995732274,0,201706,1,668,1
1377910,2,-1.318339285,0,201705,1,668,1
1377919,1,-0.25792747,0,201704,1,668,1
1377982,1,-0.185752452,0.0454,201704,1,668,1
1377998,1,-0.941803333,0,201705,1,668,1
1378004,2,-0.324603867,0,201704,1,668,1
1378076,1,-0.185752452,0,201704,1,668,1
1378094,2,-0.324603867,0,201705,1,668,1
1378098,3,-0.296948435,0,201706,1,668,1
1378130,3,-0.936282315,0,201704,1,668,1
